age,gender
36,F
41,F
26,M
30,M
52,F
33,F
29,F
45,F
51,F
47,F
49,F
32,F
25,M
55,M
36,M
37,M
53,M
45,M
44,F
61,F
33,M
49,M
40,F
42,F
55,F
45,M
45,F
50,M
36,M
31,F
29,F
20,M
60,F
28,F
37,M
37,F
43,M
48,M
48,F
34,M
38,M
42,F
37,F
56,F
44,M
47,M
46,F
51,M
41,F
27,F
43,M
33,F
34,M
45,M
52,F
40,M
43,F
57,M
42,M
66,M
45,F
22,M
47,F
43,M
52,M
46,F
38,F
27,F
37,F
31,F
34,M
45,M
56,F
43,M
28,M
44,M
51,F
33,M
38,M
40,M
32,F
46,M
38,M
44,F
31,F
35,M
47,M
36,F
57,F
36,F
42,F
49,F
25,F
22,F
24,M
52,F
34,F
65,M
34,F
41,F
55,M
60,F
60,M
52,M
50,M
45,M
47,F
34,M
31,M
39,F
38,M
35,M
46,M
49,M
40,F
54,M
28,F
38,F
32,M
21,M
39,M
38,M
55,F
46,F
29,F
58,M
52,F
45,M
37,M
30,M
36,M
50,M
58,F
55,F
35,M
28,F
41,M
22,M
43,M
38,F
35,M
24,M
45,F
34,F
28,F
11,M
39,M
57,F
56,M
35,F
33,F
44,M
30,M
43,F
47,F
52,F
38,F
37,M
31,F
31,F
37,F
43,M
49,M
31,F
54,M
37,M
39,M
32,F
15,F
48,M
47,F
37,F
40,M
45,M
24,F
34,M
47,F
27,F
42,M
26,F
44,F
39,M
23,M
51,M
32,F
31,M
42,M
51,M
29,M
40,F
44,F
46,M
41,F
36,M
31,M
40,F
29,F
10,M
44,M
49,F
16,M
29,F
46,M
60,M
40,F
32,F
38,F
53,F
33,F
32,F
35,F
30,M
41,M
56,M
43,F
37,F
37,F
24,M
48,F
39,F
38,M
71,F
42,M
32,M
35,F
51,F
41,F
25,M
49,M
33,M
58,F
50,F
35,F
52,F
40,M
48,M
44,M
31,M
33,F
50,F
36,F
35,M
30,M
44,F
60,F
29,M
40,F
54,M
39,M
44,M
29,F
44,F
38,M
49,F
51,M
65,M
45,M
43,M
41,F
36,M
43,M
37,F
41,M
53,M
29,F
51,F
53,F
38,M
18,F
33,F
52,M
39,M
30,M
34,M
48,M
45,F
37,F
36,F
36,M
30,M
56,M
36,F
52,F
55,M
49,F
35,M
44,F
39,F
30,F
43,M
28,F
51,F
35,M
42,F
42,M
37,M
45,M
35,M
48,M
26,F
41,M
59,M
29,M
33,M
45,F
41,M
43,F
44,M
46,F
51,M
44,M
37,F
46,M
58,F
38,M
30,F
51,M
38,M
18,F
48,M
34,M
39,M
43,M
41,M
47,M
35,F
45,F
37,F
47,M
46,F
30,M
50,M
34,M
48,M
43,F
58,M
37,F
36,M
39,F
36,F
47,F
23,F
29,F
29,F
49,M
57,F
38,M
38,F
40,M
51,F
30,F
42,M
49,F
45,F
41,F
50,M
12,F
46,M
33,F
21,F
45,M
53,F
38,F
49,M
56,F
53,M
56,M
47,M
40,F
23,M
37,M
31,F
61,M
38,F
41,F
45,F
40,F
56,M
33,M
41,M
32,M
26,M
33,F
39,M
35,M
33,M
25,F
39,F
24,M
47,F
40,M
25,M
36,F
32,F
43,M
53,M
21,F
41,M
38,F
46,M
42,F
32,M
36,M
32,F
50,M
40,M
59,F
39,M
32,M
24,M
21,F
24,F
42,F
45,M
24,M
48,M
35,M
41,F
56,M
48,M
37,M
31,F
18,M
32,M
37,M
30,M
38,M
40,F
37,M
33,M
41,M
44,M
29,M
54,M
39,M
40,M
47,M
42,M
49,F
42,F
33,F
43,F
28,M
41,F
39,F
37,M
38,F
21,F
34,M
40,M
41,M
29,F
52,F
31,M
49,M
44,F
33,M
57,F
28,M
49,M
50,F
33,M
53,M
37,M
42,F
42,M
38,M
48,M
47,M
22,M
53,M
23,F
50,F
51,M
29,F
35,F
28,M
37,F
36,F
47,F
53,F
53,F
34,F
37,F
23,F
31,M
49,M
56,F
27,F
34,M
39,F
42,F
31,M
44,M
35,M
39,F
45,F
40,M
35,M
38,F
39,M
36,F
37,F
55,M
45,M
37,F
46,M
36,M
51,M
43,M
38,F
44,F
24,F
28,F
28,M
41,M
57,F
62,F
46,M
45,F
21,F
34,M
32,F
33,M
38,M
35,F
20,M
47,F
29,M
42,F
60,F
30,F
14,M
37,M
51,F
59,M
27,F
44,F
35,M
38,F
66,M
24,F
42,M
44,F
50,F
40,M
43,F
36,F
42,M
36,F
46,M
36,F
43,M
39,F
51,F
39,F
22,M
52,M
30,M
33,M
34,F
53,F
18,M
71,M
50,M
42,F
39,M
42,M
45,F
46,F
45,M
40,F
38,M
38,F
38,M
51,M
45,M
10,M
46,F
41,F
39,F
36,F
51,M
49,M
32,F
44,F
30,F
26,F
33,F
48,M
49,M
45,M
47,F
45,F
33,F
44,F
48,M
47,M
51,F
47,M
43,M
50,F
39,F
31,F
38,F
32,F
33,F
38,M
32,M
36,F
21,M
42,F
40,F
31,F
46,F
49,M
23,F
32,M
32,F
30,F
48,F
38,M
37,F
19,F
46,F
27,M
40,M
42,M
53,F
26,M
9,F
41,M
58,M
52,F
42,M
35,F
48,F
30,M
44,F
45,F
50,M
67,M
43,F
34,M
39,F
22,F
33,M
35,M
34,M
41,M
31,F
51,F
40,M
39,M
36,F
41,F
48,F
31,F
33,M
36,F
26,F
31,M
35,F
48,F
42,M
41,M
48,M
38,F
43,F
38,M
42,M
34,F
15,M
38,M
54,M
49,F
49,F
52,F
40,F
41,F
33,F
36,M
46,F
52,F
38,M
35,F
40,F
46,M
25,M
17,M
34,F
27,M
34,F
38,F
35,F
54,F
43,M
43,M
46,F
28,M
50,F
39,F
46,F
29,M
24,F
48,F
43,M
30,M
31,M
51,M
28,F
56,M
30,F
46,M
36,M
46,M
34,M
38,M
40,M
29,F
47,M
34,M
37,M
30,M
14,F
38,M
64,M
47,M
39,M
37,F
40,M
45,F
28,M
51,F
47,F
47,M
44,M
40,F
46,F
45,M
36,F
34,F
41,F
55,M
27,F
25,F
41,F
40,M
41,M
42,F
37,M
54,F
23,M
31,M
38,F
23,M
38,M
56,M
40,F
42,M
27,M
33,F
36,M
36,M
52,M
45,M
28,M
42,F
44,F
51,M
55,M
29,M
31,F
27,F
37,M
44,M
49,F
39,M
36,F
41,F
31,M
60,F
23,M
41,M
60,M
40,M
38,M
36,M
38,F
53,F
17,F
55,F
25,M
37,F
35,F
45,F
24,M
44,F
60,M
26,F
41,M
33,M
44,F
40,M
33,M
44,F
58,F
38,F
47,M
27,M
30,M
44,F
54,M
43,M
36,M
39,M
27,M
46,M
48,M
35,F
35,F
42,F
35,M
39,M
60,F
37,M
36,F
33,M
47,M
38,F
33,F
53,F
54,F
33,F
21,M
50,M
33,M
47,F
20,F
48,F
27,F
47,F
40,F
30,M
35,M
46,M
41,M
45,M
59,F
24,F
56,F
41,F
31,F
26,F
38,M
49,F
38,F
55,F
25,F
39,M
27,M
43,F
48,M
35,M
13,F
41,F
44,F
44,F
52,F
29,M
46,F
51,F
22,F
43,M
34,F
39,F
43,F
35,M
33,F
40,F
29,F
29,M
46,F
28,F
46,F
44,M
22,F
33,F
51,F
30,M
35,M
44,F
47,M
37,M
34,M
54,F
57,F
49,M
40,M
31,M
31,F
45,F
44,M
54,M
46,M
24,M
50,F
30,M
36,F
42,M
59,M
71,M
46,M
38,M
45,F
48,M
36,M
57,M
42,F
44,F
46,F
44,F
48,M
33,M
34,M
28,F
44,M
47,M
44,F
56,F
39,F
46,M
29,M
36,F
46,M
48,F
37,F
39,M
24,F
36,F
48,F
45,M
45,F
40,F
40,F
33,F
46,F
44,F
44,F
34,M
18,M
50,F
35,M
31,M
46,F
36,M
50,F
46,F
46,F
26,F
52,F
42,M
36,F
41,M
22,F
44,F
29,F
26,M
24,F
51,F
33,F
55,F
34,M
22,F
28,M
52,F
38,M
34,M
41,F
45,F
51,M
54,F
36,F
26,F
35,M
42,F
30,F
30,F
43,M
39,F
40,M
32,F
37,M
30,F
48,F
50,M
21,M
30,M
25,F
33,F
